"Question","ID","Variable","Catalogues_services_merged","Purpose_of_use_merged","Catalogue_services_merged_coded","Catalogue_services_TTRAM","PurposeOfUse_merged_coded","PurposeOfUse_merged_coded_TTRAM"
"catalogues_registries",46,1,"Datacite","DOI of datasets","Datacite","Discovery & Identification","Identifier registration","Identifier registration (Discovery & Identification)"
"catalogues_registries",46,2,"ORCID","Author IDs","ORCID","Discovery & Identification","PID management","PID management (Discovery & Identification)"
"catalogues_registries",46,3,"ROR","Research organisations as author affiliation","ROR","Discovery & Identification","PID management","PID management (Discovery & Identification)"
"catalogues_registries",46,4,"TIB Terminology Service","Subject indexing, Keywords","TIB Terminology Service","Discovery & Identification","Semantic : vocabularies and thesauri","Semantic : vocabularies and thesauri (Discovery & Identification)"
"catalogues_registries",46,5,"Wikidata","Keywords","Wikidata","Discovery & Identification","Semantic : vocabularies and thesauri","Semantic : vocabularies and thesauri (Discovery & Identification)"
"catalogues_registries",47,1,"Ontology Lookup Service","Access to Controlled Vocabularies/ontologies","Ontology Lookup Service","Discovery & Identification","Semantic : ontologies","Semantic : ontologies (Discovery & Identification)"
"catalogues_registries",47,2,,,,,,
"catalogues_registries",47,3,,,,,,
"catalogues_registries",47,4,,,,,,
"catalogues_registries",47,5,,,,,,
"catalogues_registries",48,1,,,,,,
"catalogues_registries",48,2,,,,,,
"catalogues_registries",48,3,,,,,,
"catalogues_registries",48,4,,,,,,
"catalogues_registries",48,5,,,,,,
"catalogues_registries",50,1,"Datacite DOI","DOI","Datacite","Discovery & Identification","Identifier registration","Identifier registration (Discovery & Identification)"
"catalogues_registries",50,2,"da|ra","DOI","da|ra","Discovery & Identification","Identifier registration","Identifier registration (Discovery & Identification)"
"catalogues_registries",50,3,,,,,,
"catalogues_registries",50,4,,,,,,
"catalogues_registries",50,5,,,,,,
"catalogues_registries",51,1,,,,,,
"catalogues_registries",51,2,,,,,,
"catalogues_registries",51,3,,,,,,
"catalogues_registries",51,4,,,,,,
"catalogues_registries",51,5,,,,,,
"catalogues_registries",52,1,"Ontology Lookup Service","Ontologies & Controlled Vocabularies","Ontology Lookup Service","Discovery & Identification","Semantic : ontologies","Semantic : ontologies (Discovery & Identification)"
"catalogues_registries",52,2,"EuropePubMed Central","Scientific Publications - References","EuropePubMed Central","Discovery & Identification","Publication catalogues","Publication catalogues (Discovery & Identification)"
"catalogues_registries",52,3,,,,,,
"catalogues_registries",52,4,,,,,,
"catalogues_registries",52,5,,,,,,
"catalogues_registries",53,1,,,,,,
"catalogues_registries",53,2,,,,,,
"catalogues_registries",53,3,,,,,,
"catalogues_registries",53,4,,,,,,
"catalogues_registries",53,5,,,,,,
