"ID","For the reuse of data, which license(s) does your repository apply?","CC0","CC-BY or compliant","CC-BY-SA","CC-BY-NC","CC-BY-NC-SA","BSD","Apache","ODBI","LGPL","AGPL","ODC","MIT",,"European Union public license","""Public domain"" or ""free use"" without a (known) license","Commercial license","All rights reserved","Scientific use file Licence","Other : ToS, Internal licenses...","Custom license, chosen by user"
117,"Creative Commons Attribution - CC BY (mostly). For some items all rights are reserved.",,,,,,,,,,,,,,,,,,,,
118,"Creative Commons Licences. For some items all rights are reserved.",,,,,,,,,,,,,,,,,,,,
119,"Custom [ANC license](https://handbook.anc.plus.ac.at/terms/anc_license.html)",,,,,,,,,,,,,,,,,,,,
120,"Creative Commons Licences, for some items all rights are reserved 
",,,,,,,,,,,,,,,,,,,,
121,"Creative Commons Licences. For some items all rights are reserved.",,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,
125,"Creative Commons Licences 
For some items all rights are reserved.",,,,,,,,,,,,,,,,,,,,
126,"Creative Commons Licences 
For some items all rights are reserved.",,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,
128,"CC-BY, CC-BY-SA, CC-BY-ND, CC-BY-NC, CC-BY-NC-ND, CC-BY-NC-SA & allowance for custom terms",,,,,,,,,,,,,,,,,,,,
129,"Creative Commons Licences. For some items all rights are reserved.",,,,,,,,,,,,,,,,,,,,
130,"Creative Commons Licences. For some items all rights are reserved.",,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,
133,"Creative Commons Licences. For some items all rights are reserved.",,,,,,,,,,,,,,,,,,,,
134,"Creative Commons Licences. For some items all rights are reserved.",,,,,,,,,,,,,,,,,,,,
135,"CC",,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,
138,"CC-BY NC SA",,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,
140,"CC0; CC BY 4.0; CC BY-SA 4.0; CC BY-NC 4.0; CC BY-NC-SA 4.0; Other (for restricted access datasets, the owner of the data defines access and reuse conditions)",1,1,1,1,1,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,
142,"Open Licence 2.0 (CC-BY compliant) or any licence can be used in compliance with the Loi pour une République numérique : https://www.data.gouv.fr/fr/pages/legal/licences/ 
",,1,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,
147,"Creative Commons licenses",1,1,1,1,1,,,,,,,,,,,,,,,
148,"CC-BY is recommended, although we offer other options, e.g. OGL, other Creative Commons licences.",,1,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,
150,"CC",,,,,,,,,,,,,,,,,,,,
151,"in house",,,,,,,,,,,,,,,,,,,1,
152,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,
