"ID","For the reuse of code/software, which license(s) does your repository apply?","CC0","CC-BY or compliant","CC-BY-SA","CC-BY-NC","CC-BY-NC-SA","BSD","Apache","ODBI","(L)GPL","Affero GPL","ODC","MIT","European Union public license","""Public domain"" or ""free use"" without a (known) license","Commercial license","All rights reserved","Scientific use file Licence","Other : ToS, Internal licenses...","Custom license, chosen by user","Mozilla Public License","Eclipse Public License","Other","ODbL",
114,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,
117,"MIT, Apache, GNU, Creative Commons",,1,1,1,1,,1,,1,,,1,,,,,,,,,,,,
118,"Currently not implemented, as no software is deposited. Can easily be implemented, if needed.",,,,,,,,,,,,,,,,,,,,,,"Currently not implemented, as no software is deposited. Can easily be implemented, if needed.",,
119,"MIT for the software developed for the purpose of the repository. The repository doesn't store software artifacts.",,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,
128,"AGPL-3.0-or-later, GPL-3.0-or-later, LGPL-3.0+, EPL-2.0, MPL-2.0, MIT, BDS-3-Clause, Apache-2.0 & allowance for custom terms",,,,,,1,1,,1,1,,,1,,,,,,1,1,,,,
129,"Currently not implemented, as no software is deposited. Can easily be implemented, if needed.",,,,,,,,,,,,,,,,,,,,,,,,
130,"Currently not implemented, as no software is deposited. Can easily be implemented, if needed.",,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,
134,"Currently not implemented, as no software is deposited. Can easily be implemented, if needed.",,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,
