"ID","Metadata","Data","Code and software","Other digital objects"
121,"CC0","Creative Commons Licences. For some items all rights are reserved.",,
122,,,,
123,,,,
124,,,,
125,"CC0","Creative Commons Licences
 For some items all rights are reserved.",,
126,"CC0","Creative Commons Licences
 For some items all rights are reserved.",,
127,,,,
128,"CC0","CC-BY, CC-BY-SA, CC-BY-ND, CC-BY-NC, CC-BY-NC-ND, CC-BY-NC-SA & allowance for custom terms","AGPL-3.0-or-later, GPL-3.0-or-later, LGPL-3.0+, EPL-2.0, MPL-2.0, MIT, BDS-3-Clause, Apache-2.0 & allowance for custom terms",
129,"CC0","Creative Commons Licences. For some items all rights are reserved.","Currently not implemented, as no software is deposited. Can easily be implemented, if needed.",
130,"CC0","Creative Commons Licences. For some items all rights are reserved.","Currently not implemented, as no software is deposited. Can easily be implemented, if needed.",
131,,,,
132,,,,
133,"CC0","Creative Commons Licences. For some items all rights are reserved.",,
134,"CC0","Creative Commons Licences. For some items all rights are reserved.","Currently not implemented, as no software is deposited. Can easily be implemented, if needed.",
135,,"CC",,
136,,,,
137,,,,
138,"None","CC-BY NC SA","CC-BY NC SA","None"
139,,,,
140,"Currently, the license for metadata is not specified, but we are planning to introduce CC0.","CC0; CC BY 4.0; CC BY-SA 4.0; CC BY-NC 4.0; CC BY-NC-SA 4.0; Other (for restricted access datasets, the owner of the data defines access and reuse conditions)","GNU-GPLv3; MIT; Other (in case of restricted access software)","CC0; CC BY 4.0; CC BY-SA 4.0; CC BY-NC 4.0; CC BY-NC-SA 4.0; Other (for restricted access objects)"
141,,,,
142,"Open Licence 2.0 (CC-BY compliant) or any licence can be used in compliance with the Loi pour une République numérique : https://www.data.gouv.fr/fr/pages/legal/licences/","Open Licence 2.0 (CC-BY compliant) or any licence can be used in compliance with the Loi pour une République numérique : https://www.data.gouv.fr/fr/pages/legal/licences/","The Recherche Data Gouv repository encourages to preferably deposit code or software in the HAL and Software Heritage repositories. If the datasets deposited include some code, any licence can be used in compliance with the Loi pour une République numérique : https://www.data.gouv.fr/fr/pages/legal/licences/","Any licence can be used in compliance with the Loi pour une République numérique : https://www.data.gouv.fr/fr/pages/legal/licences/"
143,,,,
144,,,,
145,,,,
146,,,,
147,"Creative Commons licenses","Creative Commons licenses","Apache License Version 2.0, MIT License",
148,"CC-BY","CC-BY is recommended, although we offer other options, e.g. OGL, other Creative Commons licences.","Apache, MIT, GPL","N/A"
149,,,,
150,"CC","CC",,
151,,,,
152,,,,
153,,,,
154,,,,
155,,,,
156,,,,
157,,,,
158,"none","in house","not applicable",
159,,,,
